stop_id,stop_code,stop_name,stop_lat,stop_lon
CD140,2351,"RIDEAU / CUMBERLAND",  45.427827, -75.687798
CD150,7596,"RIDEAU / DALHOUSIE",  45.427440, -75.689277
CE010,5857,"CHARLOTTE / BESSERER",  45.431980, -75.675546
CE040,6815,"CHARLOTTE / STEWART",  45.430782, -75.674451
CE050,7604,"CHARLOTTE / WILBROD",  45.430051, -75.674193
CE060,7605,"LAURIER E / RANGE",  45.428881, -75.674211
CE080,7606,"LAURIER E / GOULBURN",  45.428302, -75.676149
CE090,6814,"LAURIER E / GOULBOURN",  45.427846, -75.676590
CE100,7607,"LAURIER E / CHAPEL",  45.427505, -75.678001
CE120,6818,"LAURIER E / SWEETLAND",  45.426311, -75.680880
CE140,7609,"LAURIER E / KING EDWARD",  45.425524, -75.682770
CE160,6819,"LAURIER E / CUMBERLAND",  45.424699, -75.684658
CE195,6782,"KING EDWARD / TEMPLETON",  45.420463, -75.678706
CE200,6783,"KING EDWARD / TEMPLETON",  45.420068, -75.678604
CE205,8259,"SOMERSET E / KING EDWARD",  45.422196, -75.679699
CE220,6792,"SOMERSET E / SWEETLAND",  45.423146, -75.677425
CE240,7614,"SOMERSET E / CHAPEL",  45.423942, -75.675548
CE260,7615,"SOMERSET E / GOULBOURN",  45.425068, -75.673218
CE270,7616,"RANGE / TEMPLETON",  45.423932, -75.670243
CE280,6793,"MANN / GOULBOURN",  45.421693, -75.670468
CE290,7617,"MANN / CHAPEL",  45.420974, -75.672102
CE365,7613,"KING EDWARD / OSGOODE",  45.423643, -75.681355
CE370,6408,"CHAPEL / TEMPLETON",  45.422781, -75.674287
CE375,7621,"CHAPEL / MANN",  45.421082, -75.672852
CE380,6805,"CHAPEL / WIGGINS",  45.419667, -75.671751
CE400,6806,"LEES / CHAPEL",  45.418377, -75.669944
CE460,7622,"LEES / BRUNSWICK",  45.414319, -75.673899
CE470,6808,"LEES / CONCORD",  45.413527, -75.676364
CE490,7623,"LEES / ROSEMERE",  45.412861, -75.677874
CE500,7625,"LEES / MAIN",  45.412250, -75.679000
CF010,6894,"ISABELLA / O'CONNOR",  45.409694, -75.688875
